Age (Ka),GDGT-0,GDGT-1,GDGT-2,GDGT-3,Cren,Cren'
153.65,0.284562124,0.072586168,0.068629689,0.01179335,0.532602906,0.029825763
154.45,0.290029652,0.070329874,0.066623425,0.011489993,0.532802076,0.028724981
155.45,0.28077283,0.069231657,0.065257247,0.011782202,0.542314645,0.030641418
155.54,0.282411085,0.06913188,0.065307563,0.011855382,0.541287912,0.030006178
156.01,0.282763708,0.070844603,0.067463732,0.01155643,0.536328989,0.031042537
156.67,0.277327004,0.070845545,0.070966648,0.01179548,0.536488483,0.03257684
158.18,0.272363259,0.06727779,0.066058253,0.011565276,0.552856765,0.029878656
159.83,0.273812614,0.072021801,0.073968336,0.011679211,0.534648326,0.033869712
160.9,0.277039007,0.076093381,0.077570922,0.012632979,0.520094563,0.036569149
162.04,0.280843762,0.068086274,0.066376847,0.011095382,0.541842138,0.031755597
162.88,0.26890929,0.071594958,0.073821595,0.011886818,0.53781858,0.035968759
163.88,0.271916113,0.072619513,0.072945161,0.011983848,0.535691025,0.03484434
164.71,0.278782036,0.06861091,0.068932273,0.01124769,0.541495943,0.030931148
165.42,0.27467659,0.073631047,0.075314549,0.011961722,0.528087897,0.036328194
165.78,0.271347987,0.070900603,0.075568955,0.012157168,0.532970239,0.037055048
167.38,0.262945364,0.068177976,0.074751611,0.011888887,0.542794358,0.039441805
168.54,0.278656126,0.067786561,0.071541502,0.012252964,0.535573123,0.034189723
169.2,0.279915971,0.077518778,0.071427792,0.011651021,0.526150018,0.033336419
170.36,0.269237622,0.069289094,0.073248471,0.011541583,0.540454932,0.036228298
170.44,0.269472604,0.071574205,0.074283189,0.011933787,0.534667864,0.038068352
172.34,0.278266625,0.069942692,0.068889791,0.011777447,0.538483522,0.032639923
173.09,0.287631831,0.069814862,0.069409747,0.011923892,0.528000216,0.033219451
173.75,0.279445475,0.072044537,0.073791071,0.012444056,0.526143434,0.036131427
174.53,0.275095441,0.077475859,0.073545924,0.01223894,0.526611273,0.035032562
175.21,0.287536982,0.070173817,0.069064349,0.011464497,0.52977071,0.031989645
176.11,0.26935293,0.068038862,0.071152768,0.012113097,0.54337672,0.035965622
176.93,0.253206433,0.069981678,0.074180578,0.012367671,0.548401873,0.041861767
178.02,0.262022195,0.07244143,0.076551582,0.012844225,0.53431977,0.041820797
179.03,0.269908719,0.069798552,0.07215927,0.011488826,0.54139125,0.035253384
180.36,0.276829956,0.067946474,0.066759636,0.010473845,0.545945465,0.032044625
180.52,0.278116428,0.069529107,0.070100579,0.011162755,0.537183785,0.033907345
181.81,0.268720889,0.073962226,0.079080719,0.012130829,0.528484414,0.037620924
183.03,0.266504674,0.069761518,0.076032216,0.011385236,0.538888127,0.03742823
184.4,0.257625247,0.06785665,0.075907439,0.011363114,0.549753876,0.037493674
185.86,0.26366068,0.071328493,0.07833397,0.011399822,0.538148007,0.037129028
187.07,0.264670296,0.07123412,0.08045977,0.012099214,0.532365396,0.039171204
188.41,0.268084732,0.067336987,0.073813418,0.011189135,0.5422327,0.037343028
189.73,0.258223069,0.069987356,0.078001175,0.011807027,0.537816323,0.044165049
190.37,0.280007467,0.077188725,0.083815568,0.012226993,0.50961359,0.037147657
191.31,0.279600792,0.06886464,0.071453536,0.010523863,0.535901518,0.033655651
192.13,0.25819976,0.069023698,0.074647851,0.011171613,0.547076719,0.039880359
192.91,0.265412397,0.070720645,0.075256173,0.01192676,0.53586427,0.040819755
194.03,0.251132153,0.066504101,0.07410457,0.01193907,0.557367704,0.038952402
195.36,0.225489048,0.069110929,0.080824646,0.013763617,0.559329975,0.051481785
196.39,0.223144306,0.065698479,0.076071923,0.012448133,0.573997234,0.048639926
197.29,0.2399427,0.072460308,0.08236839,0.012892444,0.546735108,0.04560105
198.89,0.251089162,0.070504506,0.079982706,0.012105491,0.542086534,0.044231601
199.8,0.262530722,0.073359648,0.079503985,0.01187905,0.530647203,0.042079392
200.81,0.27514614,0.075085668,0.080124975,0.012396694,0.514009272,0.043237251
202.43,0.255452516,0.069551777,0.077709085,0.011463163,0.543104929,0.04271853
203.44,0.251015135,0.070136582,0.078995939,0.011443337,0.543866125,0.044542882
204.55,0.257485124,0.071436422,0.077716547,0.012450348,0.536950685,0.043960875
205.56,0.259305858,0.072881824,0.079019241,0.011875901,0.532420904,0.044496272
206.58,0.256072753,0.073591002,0.082565514,0.012025847,0.52889793,0.046846955
207.82,0.251006243,0.068139321,0.077330206,0.011187526,0.54828384,0.044052863
209.63,0.251040604,0.071101177,0.080171032,0.011709829,0.537712777,0.048264581
210.62,0.258080526,0.075190769,0.083876171,0.011601216,0.527327998,0.04392332
211.91,0.242162733,0.070447341,0.078812962,0.011315604,0.548168369,0.04909299
213.2,0.239121251,0.07182087,0.08365019,0.012758766,0.540768906,0.051880017
214.64,0.22850778,0.066155871,0.080332129,0.01137476,0.563675026,0.049954433
215.5,0.221387015,0.070191697,0.087010246,0.012510941,0.552609449,0.056290652
216.52,0.213114754,0.070113493,0.088272383,0.013240858,0.556116015,0.059142497
217.18,0.210303228,0.063172481,0.078659928,0.012063906,0.582817085,0.052983371
218.04,0.218697203,0.065984607,0.082598085,0.01220199,0.567861836,0.052656279
218.85,0.217991076,0.066930073,0.082427876,0.012398242,0.567117409,0.053135325
219.75,0.224392271,0.065863287,0.077706212,0.012258467,0.569291502,0.050488261
220.35,0.241164892,0.07169767,0.083430017,0.012527538,0.542295108,0.048884775
221.31,0.257458033,0.072697246,0.078364023,0.011647277,0.539768976,0.040064445
222.48,0.268381325,0.073385519,0.076181157,0.012440593,0.529773553,0.039837853
223.12,0.26488523,0.070431223,0.075171594,0.01185222,0.539202636,0.038457096
223.63,0.277429351,0.07894931,0.084114218,0.012617133,0.509850218,0.03703977
224.02,0.269784173,0.070797907,0.075049052,0.011935906,0.534663179,0.037769784
224.51,0.263532764,0.07205603,0.077635328,0.012345679,0.53300095,0.04142925
224.82,0.263436208,0.068166522,0.069416402,0.011441208,0.550908566,0.036631093
225.2,0.282331066,0.066545971,0.068013896,0.01193913,0.543132554,0.028037383
225.52,0.27390536,0.073237777,0.077361084,0.012664441,0.525230709,0.037600628
225.93,0.274145446,0.074787795,0.076852489,0.012158752,0.525349851,0.036705666
226.26,0.269818228,0.074318354,0.074791719,0.011771017,0.533324918,0.035975764
226.66,0.26012901,0.075466925,0.083477381,0.013027531,0.527003668,0.040895485
226.92,0.271328394,0.073964864,0.077433902,0.011943405,0.527789479,0.037539956
227.35,0.271215861,0.06943126,0.074313146,0.011146972,0.539719563,0.034173198
228.33,0.25597109,0.070768478,0.079802752,0.011499878,0.543938567,0.038019235
229.74,0.254071262,0.073925554,0.080200808,0.012336231,0.53722297,0.042243174
231.42,0.263787665,0.074513217,0.084847166,0.012509518,0.521592516,0.042749918
232.35,0.255108964,0.073140283,0.083860287,0.011452764,0.534643255,0.041794447
234.96,0.257240063,0.070035682,0.0798274,0.012032196,0.536055099,0.044809559
237.05,0.259204037,0.073746989,0.083954582,0.01284551,0.522995756,0.047253125
238.66,0.244247788,0.067610619,0.08,0.011858407,0.550442478,0.045840708
239.68,0.236727833,0.075173927,0.090115329,0.013867488,0.527618247,0.056497175
240.84,0.214319568,0.063407332,0.077452827,0.012642358,0.580085767,0.052092148
242.09,0.228139902,0.066284498,0.076451733,0.016711554,0.565495763,0.04691655
243.53,0.203014583,0.060046567,0.072300968,0.012703729,0.600465667,0.051468486
244.55,0.242442383,0.070637534,0.078120323,0.01316971,0.549236755,0.046393295
245.44,0.26117808,0.076942806,0.080789946,0.013593229,0.52577584,0.041720099
246.44,0.280299972,0.072210647,0.071316227,0.01208177,0.52965758,0.034433805
247.4,0.266757059,0.071626481,0.074131934,0.012556741,0.537935507,0.036992277
248.63,0.286491387,0.099184044,0.098277425,0.018132366,0.44605621,0.051858568
249.34,0.29261545,0.093636944,0.094434986,0.01761013,0.452223877,0.049478612
250.51,0.276109616,0.07523987,0.068544212,0.011734659,0.536342928,0.032028715
251.83,0.274425073,0.070530969,0.068295833,0.011945562,0.542641434,0.032161128
253.04,0.269803296,0.069510898,0.06937799,0.011695906,0.543593833,0.036018075
254.13,0.271966527,0.069351464,0.070292887,0.012029289,0.540794979,0.035564854
254.86,0.275817214,0.069255414,0.069496302,0.011875798,0.538385566,0.035169706
255.55,0.274685916,0.073090319,0.071148822,0.011728611,0.53440035,0.034945982
257.1,0.266367137,0.073491656,0.077770646,0.012729996,0.53059478,0.039045785
258.68,0.266329928,0.06841924,0.071977959,0.012398117,0.54299162,0.037883136
260.3,0.263947211,0.072435513,0.079484103,0.012672466,0.530143971,0.041316737
262.27,0.276955401,0.06907968,0.06939802,0.011396556,0.54117722,0.031993124
263.87,0.284771334,0.070249882,0.067798208,0.011409712,0.534653465,0.031117397
265.08,0.278094695,0.073207834,0.065364138,0.010981175,0.541928123,0.030424035
266.07,0.281813863,0.068962784,0.065778752,0.010904744,0.542458505,0.030081352
267.59,0.283334694,0.073079121,0.072589206,0.011431371,0.52665959,0.032906018
269.05,0.286067092,0.073677711,0.072442889,0.0112163,0.52582836,0.030767648
270.66,0.286254833,0.074524965,0.074607222,0.011927285,0.52068767,0.031998026
272.18,0.282919821,0.080676355,0.075703155,0.011880422,0.516107642,0.032712604
273.54,0.279462572,0.074241843,0.076084453,0.013051823,0.523608445,0.033550864
274.45,0.273539088,0.068306439,0.071439762,0.010903964,0.545198183,0.030612565
275.21,0.275140187,0.070280374,0.073570093,0.01128972,0.53682243,0.032897196
276.73,0.279891764,0.073482158,0.07618806,0.011838322,0.524268561,0.034331135
278.25,0.266046197,0.070656713,0.06956597,0.012121237,0.549286567,0.032323317
279.92,0.27183569,0.06893611,0.071956506,0.012330325,0.543671381,0.031269988
281.63,0.26326448,0.071486432,0.078473066,0.011948157,0.53564196,0.039185905
282.95,0.258902254,0.075360472,0.084441966,0.011869673,0.528957221,0.040468414
285.13,0.256876287,0.070762147,0.079365079,0.012237974,0.536774506,0.043984006
287.53,0.244399185,0.069965257,0.079908949,0.012339763,0.546304061,0.047082784
288.38,0.242767721,0.070800203,0.083572999,0.013280325,0.537980037,0.051598714
289.96,0.267805162,0.068697846,0.072287988,0.01135261,0.543372793,0.036483602
290.76,0.277005458,0.071053445,0.072598085,0.011430337,0.532385954,0.035526722
292.39,0.266344137,0.068580399,0.073855814,0.011567313,0.542981768,0.03667057
293.33,0.264101728,0.070101076,0.074339746,0.011629171,0.542332355,0.037495924
295.27,0.271603595,0.069940357,0.071762973,0.011295132,0.541318045,0.034079897
296.68,0.273386366,0.071996778,0.074514148,0.011831638,0.533682409,0.034588662
298.3,0.268388659,0.078700434,0.088790233,0.013318535,0.50953486,0.041267279
300.32,0.260198599,0.071372525,0.079730916,0.012041248,0.534350017,0.042306695
302.35,0.261543671,0.068431949,0.07259631,0.012197165,0.547497435,0.037733469
303.26,0.26227803,0.073928226,0.083215692,0.012482354,0.525299056,0.042796642
304.88,0.25131502,0.07773232,0.080654588,0.012507306,0.531852718,0.045938048
305.68,0.252951096,0.072618044,0.082736088,0.012752951,0.533305228,0.045636594
307.2,0.279661901,0.088698737,0.099481721,0.016313611,0.455668023,0.060176006
308.91,0.258195759,0.075346217,0.088412487,0.013300994,0.515609107,0.049135435
309.86,0.239346829,0.069343474,0.080304217,0.013197629,0.551392462,0.04641539
310.8,0.243108534,0.067236293,0.076085851,0.012409724,0.556403214,0.044756383
312.47,0.241788415,0.067208983,0.078273877,0.012970514,0.551195623,0.048562588
313.7,0.239098613,0.066200112,0.0758383,0.012158558,0.561545364,0.045159053
314.81,0.247670716,0.069288831,0.07695483,0.012265597,0.549887958,0.043932067
315.81,0.235011128,0.067876744,0.081009718,0.012676777,0.552967361,0.050458272
317.7,0.252293578,0.068899083,0.078073394,0.011376147,0.546788991,0.042568807
318.87,0.262834135,0.069902695,0.078011408,0.010737054,0.536852701,0.041662006
321.33,0.25721188,0.070200369,0.078442518,0.011510587,0.538581782,0.044052863
322.6,0.252429293,0.066771619,0.07464307,0.011454318,0.551001574,0.043700125
324.97,0.236881679,0.070266026,0.08197703,0.012017087,0.549618727,0.04923945
326.24,0.231676495,0.066945481,0.078679745,0.011463473,0.562642917,0.048591888
328.24,0.219910954,0.065432522,0.082556735,0.011482236,0.566000324,0.054617229
328.99,0.209922762,0.066712488,0.087162884,0.012158824,0.562464579,0.061578463
330.05,0.200599963,0.063057364,0.0853009,0.011897231,0.577515662,0.06162888
331.01,0.198160612,0.062873346,0.083998533,0.012662575,0.579003423,0.063301511
331.35,0.199284338,0.06385907,0.085879438,0.012936967,0.57252959,0.065510597
331.59,0.187474728,0.059795861,0.080136256,0.012142971,0.601634584,0.058815601
332.46,0.190442447,0.059199551,0.078686685,0.012504244,0.6008533,0.058313772
333.18,0.198568732,0.063699277,0.082573136,0.013644228,0.57997798,0.061536647
333.98,0.194650225,0.060272074,0.076231062,0.013697695,0.602665396,0.052483548
334.7,0.215053763,0.06497861,0.078274945,0.013990057,0.574632906,0.053069719
335.89,0.238854461,0.070994525,0.080620901,0.013416762,0.548101799,0.048011552
336.86,0.254686388,0.071739302,0.074270347,0.013446176,0.544174642,0.041683145
337.9,0.272599367,0.0722828,0.073689764,0.012310939,0.532887795,0.036229335
338.83,0.273894203,0.071539531,0.07162129,0.012018641,0.537159676,0.033766658
339.8,0.276632675,0.073768713,0.071490562,0.011607724,0.532653504,0.033846821
344.22,0.270332878,0.072161979,0.075384564,0.012769982,0.530160353,0.039190243
345.84,0.262743037,0.068663514,0.070239972,0.012436504,0.550008758,0.035908215
347.46,0.264942772,0.069415006,0.072170411,0.012399322,0.543662569,0.037409919
349.08,0.26026393,0.07523827,0.071664223,0.012921554,0.54068915,0.039222874
350.7,0.261179768,0.067949208,0.07155901,0.013250096,0.545717076,0.040344842
