fGDGT_0,fGDGT_1,fGDGT_2,fGDGT_3,fGDGT_cren,fGDGT_cren_prime,SST
0.496,0.0225,0.0055,0.0026,0.4707,0.0027,-0.54161
0.5112,0.0676,0.0207,0.0032,0.3883,0.0091,0.80079
0.5434,0.061,0.0192,0.0039,0.3655,0.0069,0.6523
0.5492,0.0329,0.0092,0.0042,0.4016,0.003,6.65599
0.497,0.0481,0.014,0.0031,0.4307,0.0071,-1.6404101
0.541,0.0234,0.0068,0.0024,0.4237,0.0027,-0.13101
0.5461,0.0608,0.0197,0.0034,0.3622,0.0078,0.068909995
0.5164,0.0328,0.0097,0.0027,0.4341,0.0043,-1.68461
0.4588,0.0345,0.0103,0.0038,0.4891,0.0036,11.3955
0.4967,0.0204,0.0049,0.0025,0.4724,0.003,1.65999
0.5642,0.0242,0.0068,0.0034,0.3991,0.0022,5.9996
0.494,0.0554,0.0175,0.0029,0.4217,0.0085,-1.53881
0.5419,0.0398,0.0117,0.0053,0.3975,0.0038,7.04811
0.5404,0.0342,0.011,0.003,0.4074,0.004,7.97689
0.5056,0.0232,0.0064,0.0027,0.459,0.0032,-1.46031
0.5421,0.0341,0.0104,0.0047,0.4057,0.0029,6.60629
0.503,0.0342,0.0099,0.003,0.4446,0.0052,-1.31891
0.531,0.0204,0.0056,0.0021,0.4378,0.0031,-1.48721
0.4886,0.0279,0.0087,0.0037,0.4686,0.0025,11.1444
0.5258,0.0389,0.0118,0.0053,0.4145,0.0037,6.90029
0.5681,0.0274,0.0084,0.0037,0.3898,0.0026,6.07719
0.5326,0.0502,0.0167,0.0032,0.39,0.0072,0.81859
0.5414,0.0219,0.0068,0.0024,0.4248,0.0026,-1.50741
0.5574,0.0261,0.0077,0.0037,0.4023,0.0028,6.20519
0.5328,0.0367,0.0108,0.0039,0.4104,0.0053,13.18201
0.4826,0.0197,0.0051,0.0025,0.487,0.0031,2.10091
0.5336,0.0275,0.0078,0.0035,0.4238,0.0038,4.98141
0.5435,0.017,0.0047,0.0021,0.4302,0.0025,-0.24681
0.5111,0.0208,0.0052,0.0025,0.4566,0.0038,-0.87431
0.5515,0.0198,0.0058,0.0031,0.4178,0.0021,5.36089
0.4792,0.0495,0.0167,0.0057,0.4436,0.0051,11.495509
0.5234,0.041,0.0151,0.0031,0.4127,0.0047,9.33311
0.5436,0.0282,0.0085,0.0042,0.4126,0.0031,6.324
0.4778,0.0345,0.0113,0.003,0.4683,0.005,-1.74691
0.5261,0.0325,0.0108,0.0031,0.4232,0.0044,7.15161
0.5152,0.0206,0.0057,0.003,0.4527,0.0029,-1.73191
0.4563,0.0532,0.0188,0.0071,0.4605,0.0041,11.565909
0.528,0.0321,0.0098,0.0035,0.4216,0.0049,7.98381
0.5053,0.0248,0.0066,0.0035,0.4559,0.0039,-0.87441003
0.5517,0.0195,0.0057,0.0031,0.4178,0.0023,5.48821
0.5183,0.0256,0.0078,0.0037,0.4415,0.003,6.30859
0.5295,0.0234,0.007,0.0035,0.4339,0.0028,6.3393
0.5527,0.021,0.0062,0.0032,0.4143,0.0025,5.65379
0.4635,0.0373,0.0127,0.0049,0.4779,0.0037,12.7035
0.4461,0.0237,0.0067,0.0023,0.5167,0.0045,-0.54001004
0.5303,0.0337,0.0109,0.0036,0.4167,0.0048,8.71311
0.5486,0.0281,0.0091,0.0042,0.4072,0.0028,6.47189
0.4957,0.0233,0.0073,0.0028,0.4676,0.0034,8.2266
0.5596,0.0176,0.0053,0.0031,0.4126,0.0017,3.97571
0.4995,0.0566,0.0223,0.0032,0.4111,0.0073,9.674009
0.565,0.0373,0.0123,0.0025,0.376,0.0068,-0.87301004
0.5208,0.015,0.004,0.0018,0.4555,0.0029,-1.5599
0.5319,0.0361,0.0116,0.0027,0.411,0.0068,-0.87301004
0.5015,0.0642,0.0262,0.0034,0.3966,0.0081,10.3355
0.5417,0.0505,0.0176,0.003,0.3781,0.0092,1.1666
0.5312,0.0328,0.0107,0.0035,0.4165,0.0052,5.15859
0.5431,0.019,0.0057,0.0032,0.4267,0.0024,8.8103
0.5317,0.0235,0.0069,0.0027,0.4308,0.0044,-1.48951
0.5214,0.0371,0.0121,0.0043,0.4194,0.0057,-1.2352101
0.5506,0.0245,0.0062,0.0059,0.4103,0.0025,-1.18131
0.4948,0.0636,0.0262,0.0032,0.4035,0.0087,7.96429
0.5591,0.0189,0.006,0.0033,0.4106,0.0021,3.9012
0.55,0.0172,0.0052,0.003,0.4225,0.002,4.54619
0.4794,0.0181,0.0048,0.0025,0.4917,0.0035,1.54109
0.499,0.0543,0.022,0.0032,0.414,0.0075,10.07401
0.5143,0.06,0.0249,0.0031,0.3896,0.0081,5.73601
0.4921,0.0592,0.0243,0.0035,0.413,0.008,7.46549
0.4682,0.034,0.0127,0.0032,0.4773,0.0047,6.62291
0.4995,0.0472,0.0191,0.0032,0.4247,0.0063,12.760791
0.5107,0.0158,0.0047,0.003,0.4639,0.0019,1.2144101
0.5767,0.0147,0.0047,0.0027,0.3996,0.0016,2.48089
0.5262,0.0368,0.013,0.0039,0.4145,0.0056,9.087009
0.5306,0.0154,0.0046,0.0027,0.4445,0.0021,0.98311
0.5814,0.0174,0.0054,0.003,0.3906,0.0022,2.48089
0.5258,0.0148,0.0043,0.0026,0.4504,0.0021,1.76021
0.4333,0.0216,0.0072,0.0022,0.5319,0.0037,9.1679
0.4688,0.0233,0.0078,0.0029,0.4936,0.0036,9.2883
0.4789,0.0648,0.0274,0.0034,0.4164,0.0091,10.081909
0.4928,0.0606,0.0248,0.0032,0.4093,0.0094,9.08909
0.5028,0.0331,0.0123,0.0049,0.4438,0.0032,11.276891
0.4313,0.0234,0.0085,0.0028,0.5308,0.0032,9.2745
0.4872,0.0603,0.0261,0.0035,0.4151,0.0077,7.9257
0.5301,0.0157,0.0051,0.0028,0.4444,0.0019,0.8358
0.5124,0.0145,0.0044,0.0027,0.464,0.002,2.57669
0.5002,0.0145,0.0045,0.0026,0.4763,0.0019,1.6842899
0.5059,0.0345,0.0131,0.0048,0.4381,0.0036,11.36801
0.5283,0.0365,0.0133,0.0051,0.4123,0.0045,16.68951
0.5652,0.0147,0.0048,0.0029,0.4109,0.0016,2.48089
0.4367,0.013,0.0038,0.0017,0.542,0.0027,-0.37381002
0.49,0.0383,0.0152,0.0038,0.4473,0.0053,-1.3013101
0.5067,0.0153,0.0047,0.0028,0.4683,0.0023,3.80649
0.4786,0.0627,0.0271,0.0038,0.4189,0.009,9.756
0.5004,0.0613,0.0291,0.0035,0.3992,0.0065,7.72919
0.5824,0.0179,0.006,0.0034,0.3882,0.0021,-1.65431
0.5475,0.015,0.005,0.0031,0.4278,0.0016,2.48089
0.4062,0.0218,0.0077,0.0021,0.558,0.0042,8.891709
0.4971,0.0142,0.0045,0.0029,0.4794,0.0018,2.61311
0.4871,0.0637,0.0288,0.0037,0.4077,0.0092,10.06331
0.5356,0.0273,0.0113,0.0038,0.4192,0.0028,1.78769
0.5524,0.0154,0.005,0.0031,0.4221,0.0021,0.67739
0.5117,0.0607,0.0291,0.0035,0.3875,0.0074,9.896391
0.5327,0.0159,0.0052,0.0031,0.441,0.0022,2.48089
0.4704,0.0667,0.0294,0.0042,0.4186,0.0106,11.01481
0.5886,0.041,0.0156,0.005,0.3431,0.0066,0.86701
0.5182,0.0161,0.0053,0.003,0.455,0.0023,13.728109
0.5209,0.0397,0.0165,0.0045,0.4129,0.0055,13.693291
0.5377,0.0359,0.015,0.0043,0.4024,0.0047,14.3382
0.471,0.0684,0.0312,0.0043,0.4148,0.0103,12.23561
0.5478,0.0163,0.0055,0.0033,0.425,0.0021,0.3688
0.4968,0.057,0.0255,0.004,0.408,0.0087,9.596709
0.5753,0.044,0.0186,0.0044,0.3512,0.0066,15.11159
0.4632,0.0393,0.0171,0.0058,0.471,0.0034,11.47781
0.4429,0.0215,0.0082,0.0025,0.5211,0.0038,8.780809
0.4781,0.043,0.0174,0.0068,0.4498,0.0049,11.47781
0.5127,0.0148,0.0048,0.0029,0.4624,0.0025,2.54479
0.4808,0.0622,0.0283,0.0039,0.4142,0.0107,11.594509
0.4572,0.0445,0.0196,0.0071,0.4676,0.0041,11.34459
0.4821,0.0394,0.0176,0.0041,0.4511,0.0056,12.736509
0.5214,0.0378,0.0162,0.0046,0.4146,0.0055,14.39211
0.5166,0.0393,0.0166,0.0045,0.4168,0.0062,13.693291
0.4296,0.0198,0.0067,0.0026,0.5367,0.0045,9.796591
0.4738,0.0557,0.0254,0.0035,0.4314,0.0102,13.791491
0.4776,0.0135,0.0043,0.0029,0.4994,0.0022,2.18121
0.5119,0.0597,0.0233,0.0038,0.3865,0.0148,0.0651
0.4745,0.0658,0.0303,0.0053,0.4134,0.0106,5.1633
0.4471,0.0779,0.0337,0.0109,0.4201,0.0103,2.76191
0.4833,0.0662,0.032,0.0052,0.4039,0.0096,5.89581
0.5575,0.0417,0.0182,0.0051,0.3713,0.0062,13.728109
0.4874,0.0398,0.0176,0.0039,0.4446,0.0068,13.9663
0.4519,0.018,0.0066,0.0026,0.5173,0.0036,9.1941
0.5033,0.015,0.0051,0.0032,0.4711,0.0024,0.79849
0.5049,0.0218,0.0058,0.006,0.4578,0.0037,-1.15741
0.5819,0.0569,0.0244,0.0064,0.3203,0.0101,16.73831
0.5115,0.0149,0.0052,0.0031,0.463,0.0024,0.83601004
0.4911,0.0133,0.0047,0.0031,0.486,0.0018,2.68431
0.472,0.0255,0.0109,0.0021,0.4842,0.0054,12.077209
0.5122,0.0476,0.0209,0.0099,0.4059,0.0036,11.5423
0.4961,0.0324,0.014,0.0034,0.4481,0.006,12.58101
0.4195,0.0191,0.0068,0.0027,0.5476,0.0043,15.6926
0.3462,0.0186,0.0065,0.0035,0.6216,0.0035,9.63631
0.5132,0.0148,0.0051,0.0032,0.4612,0.0025,0.6863
0.4924,0.0129,0.0045,0.003,0.4852,0.0019,2.48089
0.4576,0.0699,0.0346,0.005,0.4212,0.0117,12.74531
0.4527,0.0684,0.0332,0.0047,0.4286,0.0123,13.53541
0.5453,0.0395,0.0181,0.0052,0.3862,0.0058,13.728109
0.4896,0.014,0.0048,0.0031,0.486,0.0025,2.27381
0.4994,0.06,0.0267,0.0046,0.3962,0.0132,1.29481
0.5008,0.0565,0.0232,0.0054,0.4006,0.0134,1.32261
0.483,0.0134,0.0047,0.0031,0.4936,0.0022,2.26989
0.4712,0.0125,0.0042,0.003,0.5069,0.0022,4.20259
0.4615,0.0566,0.0267,0.004,0.4393,0.012,13.838409
0.4798,0.0127,0.0042,0.003,0.4977,0.0025,3.27321
0.4704,0.0121,0.0041,0.0026,0.5081,0.0027,-1.07131
0.4576,0.0125,0.0041,0.0029,0.5203,0.0026,-0.9719
0.4687,0.0123,0.0044,0.0031,0.5095,0.002,2.26989
0.5317,0.0322,0.011,0.0028,0.4109,0.0113,-0.97911
0.4784,0.013,0.0046,0.0032,0.4983,0.0024,2.68431
0.4737,0.0377,0.0183,0.0039,0.4586,0.0078,16.12891
0.4499,0.0674,0.0338,0.0051,0.429,0.0148,13.061609
0.4707,0.0557,0.0293,0.0046,0.4292,0.0106,16.26701
0.4563,0.0117,0.0043,0.0031,0.5225,0.002,2.26989
0.5512,0.0341,0.0123,0.0028,0.3872,0.0124,-0.65601003
0.5112,0.0533,0.022,0.0038,0.3923,0.0174,2.24749
0.3918,0.0361,0.0134,0.0053,0.5428,0.0107,14.60919
0.3767,0.0369,0.0147,0.0061,0.5565,0.0091,14.593691
0.4771,0.0132,0.0049,0.0031,0.4989,0.0028,2.27381
0.4591,0.0754,0.0396,0.0064,0.4033,0.0162,11.9772
0.4363,0.0824,0.0507,0.0021,0.4135,0.0151,15.005891
0.4519,0.0693,0.0381,0.0059,0.4209,0.0138,13.869809
0.4148,0.0306,0.0141,0.0038,0.529,0.0078,15.159
0.4461,0.053,0.0288,0.0038,0.4565,0.0117,12.03671
0.4372,0.0705,0.0388,0.0065,0.4328,0.0142,14.93841
0.4318,0.0238,0.011,0.0037,0.5242,0.0056,18.6821
0.4645,0.0421,0.0229,0.0042,0.4577,0.0087,16.09569
0.4224,0.0719,0.0401,0.0063,0.4443,0.015,14.929609
0.5034,0.0266,0.0123,0.0042,0.4472,0.0063,12.089291
0.4964,0.0737,0.042,0.0061,0.3665,0.0153,17.769209
0.4461,0.0578,0.0334,0.0096,0.4461,0.007,0.12431
0.454,0.0675,0.04,0.0043,0.4194,0.0149,9.843209
0.4709,0.0599,0.0316,0.0054,0.4166,0.0156,10.3355
0.4531,0.0447,0.0249,0.0043,0.4629,0.0101,16.70799
0.434,0.0846,0.0547,0.0035,0.4062,0.0169,12.496409
0.4492,0.0709,0.0411,0.0055,0.4167,0.0166,10.1177
0.4058,0.0328,0.015,0.0035,0.5319,0.0109,14.94939
0.4507,0.0713,0.042,0.0073,0.4137,0.015,17.91069
0.4194,0.0723,0.0417,0.0068,0.443,0.0169,15.310691
0.4954,0.0649,0.0382,0.0068,0.3808,0.0138,17.17961
0.4052,0.0704,0.0466,0.0037,0.4606,0.0135,12.478709
0.496,0.0763,0.0457,0.0075,0.3585,0.016,18.188509
0.4539,0.0613,0.0295,0.0065,0.4284,0.0205,1.74551
0.489,0.0726,0.0439,0.0073,0.3714,0.0157,18.10409
0.4304,0.0617,0.0385,0.0038,0.451,0.0147,12.1644
0.4118,0.0705,0.0414,0.0051,0.4522,0.0189,12.77639
0.4058,0.0261,0.0137,0.0038,0.5438,0.0069,19.1763
0.5038,0.0694,0.0417,0.007,0.3616,0.0165,17.9456
0.4428,0.0903,0.06,0.0067,0.381,0.0192,18.71171
0.4806,0.0709,0.045,0.0071,0.381,0.0154,17.80531
0.3819,0.0332,0.0175,0.0035,0.5527,0.0111,15.1453
0.3929,0.0761,0.0488,0.0072,0.4567,0.0182,16.0663
0.5178,0.0769,0.0496,0.0077,0.3303,0.0177,18.58789
